Model,Resolution,Accuracy,F1-Score,AUC-ROC
RESNET18,128x128,0.9564454837766735,0.9563960750699576,0.9978106380712557
VIT_B_16,128x128,0.9321835720549547,0.9324014893162603,0.9955780926826365
EFFICIENTNET_B0,128x128,0.9260450160771704,0.9259748573954452,0.9938739856209698
RESNET18,28x28,0.909967845659164,0.9101137563786483,0.9920747022309552
VIT_B_16,28x28,0.8596901490792166,0.8570956251709138,0.9822949062904737
EFFICIENTNET_B0,28x28,0.7649809997076878,0.7593264817259335,0.9553053986104122
